chunk_id,document_id,section_id,section_title,chunk_index_in_section,chunk_text,risk_label,policy_labels,sector,split,pdf_file,page_start,page_end,bbox_json
Project_Document_Disclosure_32681_secIII_chunk1,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,1,"Analyze the status of civil registries and their digital identification systems in Colombia and Peru. Identify weaknesses or improvements and discuss the improvements they need in the short, medium, and long term with stakeholders. 3.1.3Activity 1.3. Develop the maturity model for civil registries. By integrating best practices from leading international experiences, as well as the needs identified by beneficiary countries, with the aim of providing coherence to the model. The generated model will lead to a methodology for diagnosing civil registries, which will subsequently be disseminated at events and knowledge-sharing sessions. The model must integrate the necessary inclusion actions to ensure civil registries cover all existing gender identities, - 4 - as well as cover the full range of interactions that people have with the Civil Registry. 3.2Component 2.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,3,3,"[{""page"": 3, ""w"": 612.0, ""h"": 792.0, ""rects"": [[146.7, 563.73, 522.01, 601.31], [146.7, 607.67, 522.0, 695.85]]}]"
Project_Document_Disclosure_32681_secIII_chunk2,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,2,"Application of the maturity model for civil registries and the identification model in beneficiary countries (US$200.000). This results in the maturity model of the beneficiary countries and the identification of gaps compared to the target model. Includes: 3.2.1Activity 2.1. Implement the maturity model in each beneficiary country, obtaining a roadmap for the subsequent development of the civil registry. The necessary indicator and dimension data will be collected for both the civil registry model and the identification model. Finally, a roadmap must be provided with recommended actions for the improvement and evolution of both the civil registries and the associated identification systems. 3.2.2Activity 2.2. Digital library of lessons learned from the application of the model to beneficiary countries.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,4,4,"[{""page"": 4, ""w"": 612.0, ""h"": 792.0, ""rects"": [[107.9, 116.31, 509.75, 153.9], [146.7, 160.26, 522.01, 235.79], [210.9, 242.15, 489.01, 254.44]]}]"
Project_Document_Disclosure_32681_secIII_chunk3,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,3,"Using the results and lessons learned from the previous activity, a digital educational library of lessons learned from the application of the maturity model will be created, and a final review will be compiled. These materials will be prepared in the form of documents or presentations, as well as in a browsable format, integrating with the look and feel and content of other IDB web publications for dissemination and use. The final model will be delivered, edited and formatted according to IDB standards for publication, as well the final product must be integrated with ImplementaLAC for its cohesion with other IDB contents with the necessary references to the financing fund. 3.3Component 3. Dissemination and promotion of the knowledge generated by the civil registry maturity model (US$150.000).",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,4,4,"[{""page"": 4, ""w"": 612.0, ""h"": 792.0, ""rects"": [[146.7, 267.45, 522.01, 380.93], [183.99, 387.29, 486.86, 399.58]]}]"
Project_Document_Disclosure_32681_secIII_chunk4,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,4,"Its objective is to promote the generated model, and the results obtained from its application. Includes resources allocated for logistics and organization of in-person and virtual events to be held in beneficiary countries, as well as the holding of a regional event, the development of its communication strategy, dissemination on social media, and general implementation of the event, through the following activities: 3.3.1Activity 3.1. Organization of internal events in each of the beneficiary countries, to present the results of the implemented models. This activity aims to disseminate the model and roadmap obtained within the beneficiary country to all interested units, for their awareness and involvement, acting as a catalyst for the necessary change management. Events will be held for each beneficiary country. 3.3.2Activity 3.2.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,4,4,"[{""page"": 4, ""w"": 612.0, ""h"": 792.0, ""rects"": [[107.9, 412.59, 521.99, 475.47], [146.7, 481.83, 522.0, 544.72]]}]"
Project_Document_Disclosure_32681_secIII_chunk5,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,5,"Organization of a regional event, where the final maturity model for civil registration obtained and its digital identification systems will be presented. This event aims to disseminate the maturity model at the regional level. The different dimensions, the identifiers found, and the most relevant digital identification systems will be presented in detail. The aim is also for each beneficiary countries of the TC to share their experience in implementing the model and assess the roadmap obtained, as well as outline the next steps they hope to take to achieve it. 3.3.3Activity 3.3. Organize knowledge sharing sessions between officials from beneficiary countries and others from countries interested in the maturity models for identification and civil registries, where beneficiary - 5 - countries can showcase the progress made through the adoption of these models.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,4,4,"[{""page"": 4, ""w"": 612.0, ""h"": 792.0, ""rects"": [[146.7, 563.73, 522.01, 664.56], [177.31, 670.92, 522.0, 695.85]]}]"
Project_Document_Disclosure_32681_secIII_chunk6,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,6,"Virtual sessions will be organized in which officials from beneficiary countries can share and exchange knowledge of the work carried out. 3.4Expected outcomes. The main outcomes expected are: (i) a maturity model created from the best international experiences and that has been built, tested and refined based on practical experience with countries in LAC; (ii) provide the two beneficiary countries with roadmaps with recommended actions for improving their civil registries and identification systems, in order to achieve the defined maturity models; (iii) conduct a dissemination of the maturity model based on events and sessions, in person, virtual or hybrid, in which the knowledge generated by the application of the maturity models of civil and identification registries can be shown to all interested LAC countries; and (iv) a publication of the civil registry maturity model developed.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,5,5,"[{""page"": 5, ""w"": 612.0, ""h"": 792.0, ""rects"": [[146.7, 97.66, 485.47, 109.95], [107.9, 116.31, 522.01, 229.79]]}]"
Project_Document_Disclosure_32681_secIII_chunk7,Project_Document_Disclosure_32681,secIII,Description of activities/components and budget,7,"3.5 The total budget of the CT is US$500,000 and will be financed with resources from the Korea Fund for Public Capacity Building and Economic Development. Counterpart funding is not expected. The following table includes the main activities and their costs: Indicative Budget Activity/Component Description IDB/Fund FundingTotal Funding Component 1. Maturity model for civil registries in Latin America and the Caribbean.US$150,000 US$150,000 Component 2. Application of the maturity model for civil registries and the identification model in beneficiary countriesUS$200,000 US$200,000 Component 3. Dissemination and promotion of the knowledge generated by the civil registry maturity model. US$150,000 US$150,000 Total US$500,000 US$500,000",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,5,5,"[{""page"": 5, ""w"": 612.0, ""h"": 792.0, ""rects"": [[120.52, 192.2, 483.57, 229.79], [107.9, 236.15, 522.01, 273.74], [277.49, 320.08, 352.5, 330.13], [270.19, 333.93, 516.04, 354.33], [116.3, 361.13, 374.6, 371.18]]}]"
Project_Document_Disclosure_32681_secIV_chunk0,Project_Document_Disclosure_32681,secIV,Executing agency and execution structure,0,"4.1 As requested by the beneficiary governments, the Executing Agency will be the Inter-American Development Bank (IDB) through the Institutional Capacity of the State Division (IFD/ICS). In line with the Bank's policies and procedures applicable to Technical Cooperations, all consultancies under this TC will be contracted by the IDB. 4.2 In accordance with the guidelines and requirements established in the Technical Cooperation Policy (GN-2470-2) and Annex II of Procedures for the Processing of Technical Cooperation Operations and Related Matters (OP-619-4) literal c: (iv) Institutional Capacity, the justification is given by the Bank's position as the best-equipped entity to implement projects related to the development of maturity models, such as those intended, and coordinating inputs from different beneficiaries agencies. Furthermore, the IDB has extensive experience in providing technical assistance to select and contract quality consulting services (in accordance with Bank policies).",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,5,5,"[{""page"": 5, ""w"": 612.0, ""h"": 792.0, ""rects"": [[107.9, 530.28, 522.01, 555.22], [107.9, 561.58, 522.01, 662.41]]}]"
Project_Document_Disclosure_32681_secIV_chunk1,Project_Document_Disclosure_32681,secIV,Executing agency and execution structure,1,"The IDB will also contribute to the development of consistent maturity models, ensuring that the best international examples and standards are considered in their design. - 6 - 4.3 The Bank will have the final say in selecting, contracting, evaluating, and paying consultants/companies. While it may receive input or feedback from beneficiaries, this will not limit its ability to manage the relationship with consultants. The IDB will maintain ongoing coordination with the agencies responsible for civil registries in the beneficiary countries to ensure the proper execution of this TC. To this end, the IDB will promote close coordination by establishing a permanent focal point in each of these agencies.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,5,5,"[{""page"": 5, ""w"": 612.0, ""h"": 792.0, ""rects"": [[227.2, 486.33, 278.54, 498.62], [182.56, 504.98, 303.15, 529.92], [500.61, 542.93, 522.01, 555.22], [107.9, 612.17, 522.01, 687.71]]}]"
Project_Document_Disclosure_32681_secIV_chunk2,Project_Document_Disclosure_32681,secIV,Executing agency and execution structure,2,"This will ensure that the activities to be implemented, as well as the products and other materials produced by the TC, are not only reviewed but also planned in conjunction with the government's counterparts. 4.4Procurement. All procurement to be executed under this Technical Cooperation have been included in the Procurement Plan (Annex IV) and will be hired in compliance with the applicable Bank policies and regulations as follows: (a) Hiring of individual consultants, as established in the regulation on Complementary Workforce (AM-650) and (b) Contracting of services provided by consulting firms in accordance with the Corporate procurement Policy (GN-2303-33) and its Guidelines.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[225.68, 122.96, 259.3, 135.25], [107.9, 148.26, 487.98, 185.84], [107.9, 192.2, 522.01, 267.74]]}]"
Project_Document_Disclosure_32681_secV_chunk0,Project_Document_Disclosure_32681,secV,Major issues,0,"5.1 The greatest risk identified in the execution of this CT is related to the rotation of the authorities associated with the civil registry agencies of the different beneficiary countries. The most viable mitigation measure to ensure the continuity of approaches and work is the participation of technical teams, involving them in the early development of models, the definition of their dimensions and indicators, as well as the extraction of associated data for their countries. Efforts will be made to establish a technical team with representatives from the beneficiary countries' counterparts, ensuring that the turnover of the authorities does not hinder the implementation of this cooperation. 5.2 Likewise, participation in local and regional events, involving high authorities to make visible and validate the development of the models can be a risk factor within Component 3.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[108.0, 292.75, 522.0, 406.23], [108.01, 412.59, 522.0, 424.88]]}]"
Project_Document_Disclosure_32681_secV_chunk1,Project_Document_Disclosure_32681,secV,Major issues,1,"To try to mitigate this, dates, trips, destinations and itineraries will be taken into account with sufficient advance notice, so their agendas can be committed, and we have effective and representative participation in the events and spaces to be held. 5.3 The knowledge products generated within the framework of this TC will be the property of the Bank and may be made available to the public under a Creative Commons license. However, the intellectual property of such products may also be licensed and/or transferred through specific contractual commitments to be developed with the advice of LEG.",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[493.87, 425.24, 521.98, 437.52], [108.0, 437.89, 522.01, 488.12], [108.0, 494.48, 522.01, 557.36]]}]"
Project_Document_Disclosure_32681_secVI_chunk0,Project_Document_Disclosure_32681,secVI,Exceptions to Bank policy,0,6.1 No exceptions to the Bank's policies are foreseen.,no_risk,[],REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[216.84, 217.5, 253.53, 229.79], [108.0, 563.73, 166.68, 576.01], [125.12, 582.38, 351.63, 594.66]]}]"
Project_Document_Disclosure_32681_secVII_chunk0,Project_Document_Disclosure_32681,secVII,Environmental and Social Aspects,0,"7.1 This Technical Cooperation is not intended to finance pre-feasibility or feasibility studies of specific investment projects or environmental and social studies associated with them; therefore, this TC does not have applicable requirements of the Bank's Environmental and Social Policy Framework (ESPF). Required Annexes: - 7 - Request from the Client_2108.pdf Results Matrix_46983.pdf Terms of Reference_85537.pdf Procurement Plan_27909.pdf",risk,"[""public_financial_management""]",REFORM_MODERNIZATION_OF_THE_STATE,train,Project Document - Disclosure_32681.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[329.4, 494.48, 380.75, 506.77], [238.5, 532.43, 275.19, 544.72], [213.14, 563.73, 244.92, 576.01], [211.34, 582.38, 244.01, 594.66], [108.0, 601.02, 242.48, 613.31], [108.0, 619.67, 522.01, 669.91], [76.5, 694.92, 176.74, 707.21]]}]"
Project_Document_Disclosure_61170_secIV_chunk0,Project_Document_Disclosure_61170,secIV,EXECUTION STRUCTURE,0,"4.1The IDB as Executing Agency. The executing agency will be the IDB through the Grants and Co-Financing Management Unit (GPS/GCM). As this operation is classified under the Research and Dissemination taxonomy, this TC is considered a Bank initiative, therefore, the Bank is responsible for selecting and contracting consulting services, in accordance with Annex II of the Procedures for the Processing of Technical Cooperation Operations and Related Matters (OP-619-4). 4.2Procurement.",risk,"[""health_financing_and_insurance""]",HEALTH,test,Project Document - Disclosure_61170.pdf,2,2,"[{""page"": 2, ""w"": 612.0, ""h"": 792.0, ""rects"": [[95.53, 134.95, 338.18, 145.0], [110.02, 188.19, 363.18, 198.25], [178.58, 215.14, 223.09, 225.2], [95.53, 231.74, 385.16, 241.79], [95.53, 248.34, 385.16, 258.39], [95.53, 275.29, 385.69, 285.34], [115.03, 306.54, 205.08, 316.59], [514.75, 316.89, 548.27, 326.94], [485.23, 337.58, 508.24, 347.64], [415.27, 410.43, 430.77, 420.48]]}]"
Project_Document_Disclosure_61170_secIV_chunk1,Project_Document_Disclosure_61170,secIV,EXECUTION STRUCTURE,1,"All procurement to be executed under this TC are included in the Procurement Plan (Annex IV) and will be hired in compliance with the applicable Bank policies and regulations as follows: (i) hiring of individual consultants, as established in the Complementary Workforce Regulation for the Selection of Individual Consultants (AM-650) and (ii) contracting of services provided by consulting firms, as established in the Corporate Procurement Policy (GN-2303- 33) and its associated Guidelines. 4.3Execution and Disbursement Period. The execution and disbursement period is 36 months. This information is consistent with the implementation periods considered in the Result Matrix and Procurement Plan. 4.4Monitoring, Reporting, and Supervision. The GPS/GCM team will be responsible for the administration, planning, control, and supervision of the allocated financial resources, as well as for the proper organization, management, and evaluation of the deliverables outlined in the TC.",risk,[],HEALTH,test,Project Document - Disclosure_61170.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[126.0, 438.44, 522.0, 488.68], [126.0, 501.04, 521.99, 538.62], [126.0, 550.99, 522.0, 588.57]]}]"
Project_Document_Disclosure_61170_secV_chunk0,Project_Document_Disclosure_61170,secV,POTENTIAL RISKS,0,"5.1 No major risks are expected for the execution of this TC. However, a potential risk may arise in the selection and contracting of a qualified consultancy to conduct the IEEs. This risk will be mitigated through early coordination and close consultations with the Donor in developing the ToR of the consultancy to ensure alignment of expectations across the Donor, KTF, and the IDB. - 6 -VI. EXCEPTIONS TO BANK POLICIES 6.1 There are no exceptions to the Bank's policies for this operation.",risk,[],HEALTH,test,Project Document - Disclosure_61170.pdf,6,6,"[{""page"": 6, ""w"": 612.0, ""h"": 792.0, ""rects"": [[126.0, 425.79, 192.46, 438.08], [461.62, 438.44, 506.86, 450.73], [339.14, 451.09, 392.94, 463.38], [126.0, 501.04, 388.3, 513.33], [282.11, 619.58, 365.89, 631.87], [126.0, 650.23, 522.01, 713.11]]}]"
Project_Document_Disclosure_61170_secVII_chunk0,Project_Document_Disclosure_61170,secVII,ENVIRONMENTAL AND SOCIAL ASPECTS,0,"7.1 This Technical Cooperation is not intended to finance pre-feasibility or feasibility studies of specific investment projects or environmental and social studies associated with them; therefore, this TC does not have applicable requirements of the Bank's Environmental and Social Policy Framework (ESPF). REQUIRED ANNEXES: 
• Annex I: Request from Client (Not Required) 
• Annex II: Results Matrix 
• Annex III: Terms of Reference 
• Annex IV: Procurement Plan",risk,[],HEALTH,test,Project Document - Disclosure_61170.pdf,7,7,"[{""page"": 7, ""w"": 612.0, ""h"": 792.0, ""rects"": [[230.94, 133.66, 370.61, 145.95], [126.0, 164.31, 521.99, 214.54], [126.0, 233.55, 243.96, 245.84], [144.0, 258.95, 359.82, 311.4]]}]"
